,Unnamed: 0,Actors,Awards,BoxOffice,Country,DVD,Director,Error,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,totalSeasons
2100,101,"Nicolas Cage, Sam Rockwell, Alison Lohman, Bruce Altman",5 nominations.,"$36,873,198","USA, UK",01 Jun 2004,Ridley Scott,,"Comedy, Crime, Drama, Thriller",English,61.0,A phobic con artist and his protégé are on the verge of pulling off a lucrative swindle when the former's teenage daughter arrives unexpectedly.,https://m.media-amazon.com/images/M/MV5BMjA3NjMyNjIyMF5BMl5BanBnXkFtZTYwOTgzMDI3._V1_SX300.jpg,Warner Bros. Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",12 Sep 2003,True,116 min,Matchstick Men,movie,,"Eric Garcia (book), Nicholas Griffin (screenplay), Ted Griffin (screenplay)",2003,tt0325805,7.3,"119,263",
2101,102,"Mara Wilson, Danny DeVito, Rhea Perlman, Embeth Davidtz",3 wins & 7 nominations.,,USA,05 Aug 1997,Danny DeVito,,"Comedy, Family, Fantasy",English,72.0,"Story of a wonderful little girl, who happens to be a genius, and her wonderful teacher vs. the worst parents ever and the worst school principal imaginable.",https://m.media-amazon.com/images/M/MV5BZTA4MmI5YzgtOTU1Yy00NGVjLTgyMGQtNjNlMDY2YWVlZmYyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Sony Pictures Home Entertainment,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",02 Aug 1996,True,102 min,Matilda,movie,,"Roald Dahl (book), Nicholas Kazan (screenplay), Robin Swicord (screenplay)",1996,tt0117008,6.9,"115,468",
2103,104,"Thomas Haden Church, Josh Wiggins, Luke Kleintank, Lauren Graham",1 win & 1 nomination.,"$26,714,191",USA,27 Oct 2015,Boaz Yakin,,"Adventure, Drama, Family, War",English,47.0,A military dog that helped American Marines in Afghanistan returns to the United States and is adopted by his handler's family after suffering a traumatic experience.,https://m.media-amazon.com/images/M/MV5BMjA2Nzk0NzIyN15BMl5BanBnXkFtZTgwMjEyNTE5NDE@._V1_SX300.jpg,Warner Bros. Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",26 Jun 2015,True,111 min,Max,movie,,"Boaz Yakin, Sheldon Lettich",2015,tt3369806,6.7,"24,357",
2104,105,"Marsha Mason, Jason Robards, Donald Sutherland, Matthew Broderick",1 nomination.,,USA,12 Jul 2005,Herbert Ross,,"Comedy, Drama",English,,An English teacher and struggling single mother has her life disrupted when the father who abandoned her as a child comes back into her life.,https://m.media-amazon.com/images/M/MV5BOGM3MWVlNTktMjU4Mi00NTJlLTk1NTItMmQxYWY2Zjg1MGNiXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,Fox,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}]",25 Mar 1983,True,98 min,Max Dugan Returns,movie,,Neil Simon,1983,tt0085919,6.6,"3,079",
2105,106,"Mark Wahlberg, Mila Kunis, Beau Bridges, Ludacris",1 nomination.,"$40,632,110","USA, Canada",20 Jan 2009,John Moore,,"Action, Crime, Drama, Thriller","English, Russian, Spanish",31.0,"Coming together to solve a series of murders in New York City are a police detective whose family was slain as part of a conspiracy and an assassin out to avenge her sister's death. The duo will be hunted by the police, the mob, and a ruthless corporation.",https://m.media-amazon.com/images/M/MV5BNzM5OTAxYmQtODRkZC00ZGZlLTlhNzYtNzFiODVjMTY4MWU2XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,20th Century Fox,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '16%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",17 Oct 2008,True,100 min,Max Payne,movie,,"Beau Thorne (screenplay), Sam Lake (video game by Remedy Entertainment and 3-D Realms Entertainment)",2008,tt0467197,5.4,"118,709",
2106,107,"Emilio Estevez, Pat Hingle, Laura Harrington, Yeardley Smith",3 nominations.,,USA,10 Apr 2001,Stephen King,,"Action, Comedy, Horror, Sci-Fi",English,24.0,A group of people try to survive when machines start to come alive and become homicidal.,https://m.media-amazon.com/images/M/MV5BYzUwOWQxNjAtMzU4MC00M2IwLWEyNzgtNGRlMjE4Y2VlYThiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Lorimar Home Video,R,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '15%'}, {'Source': 'Metacritic', 'Value': '24/100'}]",25 Jul 1986,True,98 min,Maximum Overdrive,movie,,"Stephen King (film by), Stephen King (written for the screen by)",1986,tt0091499,5.5,"28,145",
2108,109,"Dylan O'Brien, Ki Hong Lee, Kaya Scodelario, Thomas Brodie-Sangster",2 wins & 5 nominations.,,USA,15 Dec 2015,Wes Ball,,"Action, Sci-Fi, Thriller",English,43.0,"After having escaped the Maze, the Gladers now face a new set of challenges on the open roads of a desolate landscape filled with unimaginable obstacles.",https://m.media-amazon.com/images/M/MV5BMjE3MDU2NzQyMl5BMl5BanBnXkFtZTgwMzQxMDQ3NTE@._V1_SX300.jpg,20th Century Fox,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '46%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",18 Sep 2015,True,131 min,Maze Runner: The Scorch Trials,movie,,"T.S. Nowlin (screenplay by), James Dashner (based upon the novel ""The Scorch Trials"" by)",2015,tt4046784,6.3,"205,993",
2109,110,"Warren Beatty, Julie Christie, Rene Auberjonois, William Devane",Nominated for 1 Oscar. Another 1 win & 3 nominations.,,USA,04 Jun 2002,Robert Altman,,"Drama, Western","English, Cantonese",,"A gambler and a prostitute become business partners in a remote Old West mining town, and their enterprise thrives until a large corporation arrives on the scene.",https://m.media-amazon.com/images/M/MV5BMmMxMTk0MmMtY2I0YS00NjcwLTk2NjYtOWFlOTA0M2EzNjgxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Warner Bros. Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}]",08 Jul 1971,True,120 min,McCabe & Mrs. Miller,movie,,"Edmund Naughton (novel), Robert Altman (screenplay), Brian McKay (screenplay)",1971,tt0067411,7.7,"20,166",
2110,111,"Kevin Costner, Ramiro Rodriguez, Carlos Pratts, Johnny Ortiz",4 wins & 3 nominations.,,USA,02 Jun 2015,Niki Caro,,"Biography, Drama, Sport","English, Spanish",60.0,Jim White moves his family after losing his last job as a football coach. He sees that some of the students are worth starting a cross-country team and turns seven students with no hope into one of the best cross-country teams.,https://m.media-amazon.com/images/M/MV5BMjMwNjY2Mjk5OV5BMl5BanBnXkFtZTgwODM2NTA0MzE@._V1_SX300.jpg,Walt Disney Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",20 Feb 2015,True,129 min,"McFarland, USA",movie,,"Christopher Cleveland (screenplay), Bettina Gilois (screenplay), Grant Thompson (screenplay), Christopher Cleveland (story), Bettina Gilois (story)",2015,tt2097298,7.4,"32,446",
2111,112,"John Wayne, Maureen O'Hara, Patrick Wayne, Stefanie Powers",2 wins.,,USA,08 Jul 1997,Andrew V. McLaglen,,"Comedy, Romance, Western",English,,"Wealthy rancher G.W. McLintock uses his power and influence in the territory to keep the peace between farmers, ranchers, land-grabbers, Indians and corrupt government officials.",https://m.media-amazon.com/images/M/MV5BNjZmZjJkZDgtMjMyNy00NDk3LTkxOWItNTI3OTU5ODRiZTdkXkEyXkFqcGdeQXVyNTE5MDM3ODM@._V1_SX300.jpg,United Artists,Passed,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}]",13 Nov 1963,True,127 min,McLintock!,movie,,James Edward Grant (original screenplay),1963,tt0057298,7.2,"11,917",
2112,113,"Sam Claflin, Vanessa Kirby, Emilia Clarke, Eileen Dunwoodie",6 wins & 6 nominations.,"$56,228,651","UK, USA",30 Aug 2016,Thea Sharrock,,"Drama, Romance","English, French",51.0,A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.,https://m.media-amazon.com/images/M/MV5BMTQ2NjE4NDE2NV5BMl5BanBnXkFtZTgwOTcwNDE5NzE@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",03 Jun 2016,True,106 min,Me Before You,movie,,"Jojo Moyes (based on the novel by), Jojo Moyes (screenplay by)",2016,tt2674426,7.4,"183,945",
2113,114,"Jim Carrey, Renée Zellweger, Anthony Anderson, Mongo Brownlee",2 wins & 4 nominations.,"$560,525",USA,24 May 2001,"Bobby Farrelly, Peter Farrelly",,Comedy,"English, German",49.0,A nice-guy cop with dissociative identity disorder must protect a woman on the run from a corrupt ex-boyfriend and his associates.,https://m.media-amazon.com/images/M/MV5BODMwMDY2YzUtNGFiNS00NDA1LWI4YzMtYzVmM2RlZTk3NGVlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,20th Century Fox,R,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",23 Jun 2000,True,116 min,"Me, Myself & Irene",movie,,"Peter Farrelly, Mike Cerrone, Bobby Farrelly",2000,tt0183505,6.6,"212,572",
2114,115,"Lindsay Lohan, Rachel McAdams, Tina Fey, Tim Meadows",7 wins & 25 nominations.,"$85,974,306","USA, Canada",21 Sep 2004,Mark Waters,,Comedy,"English, German, Vietnamese, Swahili",66.0,"Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.",https://m.media-amazon.com/images/M/MV5BMjE1MDQ4MjI1OV5BMl5BanBnXkFtZTcwNzcwODAzMw@@._V1_SX300.jpg,Paramount Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",30 Apr 2004,True,97 min,Mean Girls,movie,,"Rosalind Wiseman (book), Tina Fey (screenplay)",2004,tt0377092,7.0,"308,887",
2115,116,"Bill Murray, Harvey Atkin, Kate Lynch, Russ Banham",3 wins & 6 nominations.,,Canada,23 Nov 1999,Ivan Reitman,,Comedy,English,60.0,Wacky hijinks of counselors and campers at a less-than-average summer camp.,https://m.media-amazon.com/images/M/MV5BYTcwNWU5ZjItNDgxMy00NWI4LTg4ZTktZDQwNWMxNzkyZjViXkEyXkFqcGdeQXVyMDAyMTY3Nw@@._V1_SX300.jpg,LionsGate Entertainment,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",29 Jun 1979,True,94 min,Meatballs,movie,,"Len Blum, Daniel Goldberg, Janis Allen, Harold Ramis",1979,tt0079540,6.2,"17,671",
2116,117,"Sean Connery, Lorraine Bracco, José Wilker, Rodolfo De Alexandre",1 nomination.,,USA,17 Aug 1999,John McTiernan,,"Adventure, Drama, Romance",English,,"In the beautiful and dangerous Amazon rainforest, dissimilar people must make their choices between business, science, and love.",https://m.media-amazon.com/images/M/MV5BODc3NTFkYTEtMTUzZi00ZTI4LWJjMGItNWI4ZGFlOTNhNGY1XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,Hollywood Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '19%'}]",07 Feb 1992,True,106 min,Medicine Man,movie,,"Tom Schulman (story), Tom Schulman (screenplay), Sally Robinson (screenplay)",1992,tt0104839,6.0,"19,998",
2117,118,"Brad Pitt, Anthony Hopkins, Claire Forlani, Jake Weber",3 wins & 6 nominations.,,USA,06 Apr 1999,Martin Brest,,"Drama, Fantasy, Romance","English, Dutch",43.0,"Death, who takes the form of a young man, asks a media mogul to act as a guide to teach him about life on Earth, and in the process, he falls in love with his guide's daughter.",https://m.media-amazon.com/images/M/MV5BNTc0MzRmMTgtMTk4OS00MzdkLWJjNWMtZWJmZjlkYTI0YWRiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Universal Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",13 Nov 1998,True,178 min,Meet Joe Black,movie,,"Ron Osborn (screenplay), Jeff Reno (screenplay), Kevin Wade (screenplay), Bo Goldman (screenplay), Alberto Casella (play), Walter Ferris (play), Maxwell Anderson (earlier screenplay), Gladys Lehman (earlier screenplay)",1998,tt0119643,7.2,"199,824",
2119,120,"Tyler Perry, David Mann, Tamela J. Mann, Angela Bassett",3 nominations.,"$41,939,392",USA,01 Jul 2008,Tyler Perry,,"Comedy, Drama, Romance",English,45.0,"A single mom takes her family to Georgia for the funeral of her father -- a man she never met. There, her clan is introduced to the crass, fun-loving Brown family.",https://m.media-amazon.com/images/M/MV5BMTIyNTgyMjgxMF5BMl5BanBnXkFtZTcwMjc3NzI2MQ@@._V1_SX300.jpg,Lionsgate Films,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '4.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",21 Mar 2008,True,100 min,Meet the Browns,movie,,Tyler Perry (play),2008,tt1047494,4.3,"6,297",
2120,121,"Robert De Niro, Ben Stiller, Dustin Hoffman, Barbra Streisand",2 wins & 7 nominations.,"$279,167,575",USA,26 Apr 2005,Jay Roach,,"Comedy, Romance","English, Spanish, Hebrew",41.0,All hell breaks loose when the Byrnes family meets the Focker family for the first time.,https://m.media-amazon.com/images/M/MV5BMWZjODQxMWMtZmIzYS00YjMwLWFiZTctYmFiZmJiNjljYWVmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Universal Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",22 Dec 2004,True,115 min,Meet the Fockers,movie,,"Greg Glienna (characters), Mary Ruth Clarke (characters), Jim Herzfeld (story), Marc Hyman (story), Jim Herzfeld (screenplay), John Hamburg (screenplay)",2004,tt0290002,6.3,"241,223",
2121,122,"Eugene McCarthy, Jay Roach",,,USA,,,,Short,English,,We get notes from Roach and prop master Eugene McCarthy. We learn about the desire to strap a fake tit onto De Niro and its construction.,,,,[],19 Apr 2005,True,3 min,Meet the Fockers,movie,,,2005,tt5329516,,,
2123,124,"Angela Bassett, Daniel Hansen, Jordan Fry, Matthew Josten",1 win & 10 nominations.,"$97,690,955",USA,23 Oct 2007,Stephen J. Anderson,,"Animation, Adventure, Comedy, Family, Sci-Fi",English,61.0,"Lewis is a brilliant inventor who meets mysterious stranger named Wilbur Robinson, whisking Lewis away in a time machine and together they team up to track down Bowler Hat Guy in a showdown that ends with an unexpected twist of fate.",https://m.media-amazon.com/images/M/MV5BZDAyZTI5ZjktYmI1Yy00Mzk5LTg1MGMtMDQ0OGE4MjgwMTliXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,Buena Vista,G,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",30 Mar 2007,True,95 min,Meet the Robinsons,movie,,"Jon Bernstein (screenplay by), Michelle Bochner Spitz (screenplay by), Don Hall (screenplay by), Nathan Greno (screenplay by), Aurian Redson (screenplay by), Joseph Mateo (screenplay by), Stephen J. Anderson (screenplay by), William Joyce (based upon the book ""A Day with Wilbur Robinson"" by), Diego Garzon (story editor)",2007,tt0396555,6.8,"81,641",
2124,125,"Sean Maguire, Carmen Electra, Ken Davitian, Kevin Sorbo",6 nominations.,"$38,200,000",USA,03 Jun 2008,"Jason Friedberg, Aaron Seltzer",,Comedy,English,9.0,"A spoof of 300 (2006) and many other movies, TV series/shows/commercials, video games and celebrities. King Leonidas of Sparta and his army of 12 go to war against Xerxes of Persia to fight to the death for Sparta's freedom.",https://m.media-amazon.com/images/M/MV5BMjAxMDE3NDQwMF5BMl5BanBnXkFtZTcwMjA0MzU1MQ@@._V1_SX300.jpg,20th Century Fox,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '2.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '2%'}, {'Source': 'Metacritic', 'Value': '9/100'}]",25 Jan 2008,True,86 min,Meet the Spartans,movie,,"Jason Friedberg, Aaron Seltzer",2008,tt1073498,2.8,"98,498",
2125,126,"Will Ferrell, Brad Pitt, Tina Fey, Jonah Hill",2 wins & 16 nominations.,"$148,244,405",USA,25 Feb 2011,Tom McGrath,,"Animation, Action, Comedy, Family, Sci-Fi",English,63.0,"The supervillain Megamind finally defeats his nemesis, the superhero Metro Man. But without a hero, he loses all purpose and must find new meaning to his life.",https://m.media-amazon.com/images/M/MV5BMTAzMzI0NTMzNDBeQTJeQWpwZ15BbWU3MDM3NTAyOTM@._V1_SX300.jpg,Paramount Studios/DWA,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",05 Nov 2010,True,95 min,MegaMind,movie,,"Alan Schoolcraft, Brent Simons",2010,tt1001526,7.2,"212,540",
2126,127,"Barry Bostwick, Michael Beck, Persis Khambatta, Edward Mulhare",3 nominations.,,"USA, Hong Kong",30 Aug 1990,Hal Needham,,"Action, Sci-Fi",English,,Story about a rapid deployment defense unit that is called into action whenever freedom is threatened.,https://m.media-amazon.com/images/M/MV5BM2JkYzU2NzEtZTEwZS00ZWIwLThjNzItYjgwNzk2YzYwMGQyXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,20th Century Fox Film Corporation,PG,"[{'Source': 'Internet Movie Database', 'Value': '3.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '0%'}]",25 Jun 1982,True,99 min,Megaforce,movie,,"Bob Kachler (story), James Whittaker (screenplay), Al Ruddy (screenplay), Hal Needham (screenplay), Andre Morgan (screenplay)",1982,tt0084316,3.8,"3,036",
2131,132,"Chevy Chase, Daryl Hannah, Sam Neill, Michael McKean",5 nominations.,,"USA, France",19 Aug 2003,John Carpenter,,"Comedy, Romance, Sci-Fi, Thriller",English,48.0,"After a freak accident, a yuppie turns invisible and runs from a treacherous CIA official, while trying to cope with his new life.",https://m.media-amazon.com/images/M/MV5BMjRjODQzNGYtMzZhNC00MWY4LWJhODctOTY2NDdmYmNlZmFmXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,Warner Home Video,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '23%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",28 Feb 1992,True,99 min,Memoirs of an Invisible Man,movie,,"H.F. Saint (book), Robert Collector (screenplay), Dana Olsen (screenplay), William Goldman (screenplay)",1992,tt0104850,6.0,"20,832",
2132,133,"Matthew Modine, Eric Stoltz, Tate Donovan, D.B. Sweeney",Nominated for 1 BAFTA Film Award. Another 1 win & 3 nominations.,,"UK, Japan, USA",27 May 1998,Michael Caton-Jones,,"Action, Drama, War",English,,"In 1943, the crew of a B-17 based in UK prepares for its 25th and last bombing mission over Germany before returning home to the USA.",https://m.media-amazon.com/images/M/MV5BNzFjZTI0YTgtMzk3OS00ODZiLTliMTMtNTc3NWViMWExM2I1L2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg,MVD Music Video,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}]",12 Oct 1990,True,107 min,Memphis Belle,movie,,Monte Merrick,1990,tt0100133,6.9,"25,476",
2133,134,"Charlie Sheen, Emilio Estevez, Leslie Hope, Keith David",,,USA,04 Jun 2002,Emilio Estevez,,"Action, Comedy, Crime",English,,Two garbage men uncover a conspiracy involving illegal toxic waste dumping and decide to bring the whole operation down.,https://m.media-amazon.com/images/M/MV5BYmM3ZTk0NWQtMTM2ZS00Y2NlLWExNWQtYzQ0OTliYzljYTAzXkEyXkFqcGdeQXVyMjY3MjUzNDk@._V1_SX300.jpg,Sony Pictures Home Entertainment,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '28%'}]",24 Aug 1990,True,98 min,Men At Work,movie,,Emilio Estevez,1990,tt0100135,6.0,"21,415",
2135,136,,,,,,,Movie not found!,,,,,,,,,,False,,Men in Black 2,,,,,,,,
2136,137,"Will Smith, Tommy Lee Jones, Josh Brolin, Jemaine Clement",1 win & 13 nominations.,"$179,020,854","USA, United Arab Emirates",30 Nov 2012,Barry Sonnenfeld,,"Action, Adventure, Comedy, Sci-Fi","English, Ukrainian",58.0,Agent J travels in time to M.I.B.'s early days in 1969 to stop an alien from assassinating his friend Agent K and changing history.,https://m.media-amazon.com/images/M/MV5BMTU2NTYxODcwMF5BMl5BanBnXkFtZTcwNDk1NDY0Nw@@._V1_SX300.jpg,Sony Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",25 May 2012,True,106 min,Men in Black 3,movie,,"Etan Cohen, Lowell Cunningham (based on the Malibu comic by)",2012,tt1409024,6.8,"317,824",
2137,138,"Robert De Niro, Cuba Gooding Jr., Charlize Theron, Aunjanue Ellis",11 nominations.,,USA,10 Apr 2001,George Tillman Jr.,,"Biography, Drama",English,56.0,"The story of Carl Brashear, the first African-American U.S. Navy Diver, and the man who trained him.",https://m.media-amazon.com/images/M/MV5BMTc1Njk1NTE3NF5BMl5BanBnXkFtZTgwNjAyMzcxMTE@._V1_SX300.jpg,20th Century Fox,R,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",10 Nov 2000,True,129 min,Men of Honor,movie,,Scott Marshall Smith,2000,tt0203019,7.2,"102,292",
2138,139,"Tyrin Turner, Larenz Tate, June Kyoto Lu, Toshi Toda",2 wins & 4 nominations.,,USA,03 Jul 2001,"Albert Hughes, Allen Hughes",,"Crime, Drama, Thriller",English,76.0,A young street hustler attempts to escape the rigors and temptations of the ghetto in a quest for a better life.,https://m.media-amazon.com/images/M/MV5BNGE3MGI0MzItNjJjNC00ZTUzLTlmZTctOGUyMDllMWM2OTcxXkEyXkFqcGdeQXVyMjQ1MjYzOTQ@._V1_SX300.jpg,Warner Bros.,R,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",26 May 1993,True,97 min,Menace II Society,movie,,"Allen Hughes (story), Albert Hughes (story), Tyger Williams (story), Tyger Williams (screenplay)",1993,tt0107554,7.5,"47,551",
2139,140,"Bruce Willis, Alec Baldwin, Miko Hughes, Chi McBride",2 wins.,,USA,02 Jan 2002,Harold Becker,,"Action, Crime, Drama, Thriller",English,37.0,Shadowy elements in the NSA target a nine-year old autistic savant for death when he is able to decipher a top secret code.,https://m.media-amazon.com/images/M/MV5BODA2NmY4NDEtNjk1Yi00NmI1LTgwMjEtYWZmMjRmMDUyMTlkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Universal Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",03 Apr 1998,True,111 min,Mercury Rising,movie,,"Ryne Douglas Pearson (novel), Lawrence Konner (screenplay), Mark Rosenthal (screenplay)",1998,tt0120749,6.1,"63,402",
2140,141,"Cher, Bob Hoskins, Winona Ryder, Michael Schoeffling",Nominated for 1 Golden Globe. Another 4 wins.,,USA,06 Feb 2001,Richard Benjamin,,"Comedy, Drama, Romance",English,56.0,"An unconventional single mother relocates with her two daughters to a small Massachusetts town in 1963, where a number of events and relationships both challenge and strengthen their familial bonds.",https://m.media-amazon.com/images/M/MV5BYTRiNjIwYjAtZWZmNC00Y2ZmLTk3ODgtMTBmNDRlYzNiOGQ2XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,Orion Home Video,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",14 Dec 1990,True,110 min,Mermaids,movie,,"Patty Dann (novel), June Roberts (screenplay)",1990,tt0100140,6.7,"26,715",
2141,142,"Kevin Costner, Robin Wright, Paul Newman, John Savage",6 nominations.,,USA,03 Aug 1999,Luis Mandoki,,"Drama, Romance",English,39.0,"A woman discovers a tragic love letter in a bottle on a beach, and is determined to track down its author.",https://m.media-amazon.com/images/M/MV5BNzk4YmJmZjAtMjc5Yy00ZWNmLTkzYTgtM2ZhM2Y1ZWE3MGM0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '32%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",12 Feb 1999,True,126 min,Message in a Bottle,movie,,"Nicholas Sparks (novel), Gerald Di Pego (screenplay)",1999,tt0139462,6.2,"33,856",
2143,144,"Eddie Murphy, Kim Miyori, Art Evans, James Carpenter",1 nomination.,,USA,28 Aug 2001,Thomas Carter,,"Action, Comedy, Crime, Drama, Thriller",English,,A Hostage Negotiator teams up with a Sharpshooter to bring down a dangerous jewel thief.,https://m.media-amazon.com/images/M/MV5BYmI1ZGNiYTUtOTllNi00YWU5LThmNmItODM2N2I4OTEyYmQzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Touchstone Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '15%'}]",17 Jan 1997,True,117 min,Metro,movie,,Randy Feldman,1997,tt0119664,5.5,"24,232",
